# score prediction true_values loss
1.874617968750000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.885037109375000000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.885037109375000000e+03
1.063549511718750000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.286213500976562500e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.286213500976562500e+03
9.280275390625000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
7.421517333984375000e+02 1.000000000000000000e+00 0.000000000000000000e+00 7.421517333984375000e+02
1.754570312500000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.657620605468750000e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.657620605468750000e+03
4.667324707031250000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.006372451782226562e+01 9.999574422836303711e-01 0.000000000000000000e+00 1.006376743316650391e+01
1.637448144531250000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.347453125000000000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.347453125000000000e+03
9.353715820312500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
8.620413818359375000e+02 1.000000000000000000e+00 0.000000000000000000e+00 8.620413818359375000e+02
1.316561914062500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
8.315218505859375000e+02 1.000000000000000000e+00 0.000000000000000000e+00 8.315218505859375000e+02
1.310398437500000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.769162109375000000e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.769162109375000000e+03
1.217943847656250000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.096963989257812500e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.096963989257812500e+03
1.304008984375000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.242723876953125000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.242723876953125000e+03
9.126453125000000000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
6.927428588867187500e+02 1.000000000000000000e+00 0.000000000000000000e+00 6.927428588867187500e+02
9.737758789062500000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
8.708306884765625000e+02 1.000000000000000000e+00 0.000000000000000000e+00 8.708306884765625000e+02
1.601555859375000000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.326692382812500000e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.326692382812500000e+03
1.145423144531250000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.565003173828125000e+03 1.000000000000000000e+00 0.000000000000000000e+00 1.565003173828125000e+03
1.714859179687500000e+04 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.843722412109375000e+03 1.000000000000000000e+00 0.000000000000000000e+00 2.843722412109375000e+03
7.167610839843750000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
5.455187988281250000e+02 1.000000000000000000e+00 0.000000000000000000e+00 5.455187988281250000e+02
6.794029785156250000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.167663879394531250e+02 1.000000000000000000e+00 0.000000000000000000e+00 4.167663879394531250e+02
5.441609863281250000e+03 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.002273368835449219e+01 1.000000000000000000e+00 0.000000000000000000e+00 3.002273368835449219e+01
